id_municipio,risco_observado,risco_previsto,codigo_uf,regiao,meta_alfabetizacao_2025,taxa_alfabetizacao_anterior,n_estudantes_teste,taxa_alfabetizacao_prevista,risco_ic95_inferior,risco_ic95_superior,deficit_para_meta_pp,amostra_suficiente,nome_municipio
2402105,0.5714285714285714,0.7461033091333624,24,Nordeste,39.52,24.04,7,25.38966908666376,0.42367359759144446,1.0,14.130330913336245,False,Campo Redondo
4321303,1.0,0.7460397186295394,43,Sul,59.5,49.6,7,25.396028137046056,0.42358337441693855,1.0,34.10397186295394,False,Taquari
1713809,0.5,0.7457262835399839,17,Norte,33.59,18.11,12,25.427371646001607,0.49934602373010295,0.9921065433498649,8.162628353998397,False,Palmeiras do Tocantins
2920205,0.72,0.7444808876862257,29,Nordeste,40.62,25.23,25,25.55191123137743,0.5735090662081206,0.9154527091643307,15.068088768622566,False,Malhada
2805604,0.9130434782608695,0.7439206922669179,28,Nordeste,39.04,23.53,23,25.607930773308208,0.5655421065337156,0.9222992780001202,13.432069226691791,False,Porto da Folha
2800605,0.625,0.743748609782649,28,Nordeste,37.7,22.14,24,25.625139021735098,0.5690873255465804,0.9184098940187176,12.074860978264905,False,Barra dos Coqueiros
2907806,0.6190476190476191,0.7424746925943738,29,Nordeste,45.57,30.93,21,25.75253074056262,0.5554507496796999,0.9294986355090478,19.81746925943738,False,Cícero Dantas
2931400,0.5714285714285714,0.7413461433806549,29,Nordeste,53.42,41.03,14,25.865385661934514,0.5119627099721847,0.970729576789125,27.554614338065488,False,Teodoro Sampaio
4314902,0.7661290322580645,0.7404087729740685,43,Sul,,40.04,248,25.959122702593152,0.6858441681093335,0.7949733778388035,,True,Porto Alegre
2933059,0.75,0.7371916369630754,29,Nordeste,46.92,32.58,8,26.280836303692457,0.43217686821283324,1.0,20.639163696307545,False,Várzea da Roça
4305454,0.7142857142857143,0.7369529682996289,43,Sul,,42.82,7,26.304703170037115,0.41078324867697524,1.0,,False,Cidreira
1500701,0.5757575757575758,0.7360776224786829,15,Norte,42.04,26.81,33,26.39223775213171,0.5856945283044491,0.8864607166529167,15.64776224786829,True,Anajás
2913457,0.7,0.7355997489149553,29,Nordeste,45.04,30.3,10,26.44002510850447,0.4622568543066732,1.0,18.599974891495528,False,Igrapiúna
2413201,0.5714285714285714,0.734778166947423,24,Nordeste,39.38,23.89,7,26.522183305257695,0.4077464991782992,1.0,12.857816694742308,False,Senador Georgino Avelino
1504406,0.5384615384615384,0.7341890585915707,15,Norte,43.72,28.74,13,26.581094140842932,0.4940433799607167,0.9743347372224247,17.138905859157067,False,Marapanim
2916104,0.8,0.7337563168304099,29,Nordeste,51.35,38.25,15,26.624368316959014,0.5100768985181342,0.9574357351426855,24.725631683040987,False,Itaparica
2801603,0.5,0.7334919162500929,28,Nordeste,37.78,22.22,4,26.65080837499071,0.3002016478917514,1.0,11.129191625009291,False,Cedro de São João
1507003,0.5757575757575758,0.7334051401638704,15,Norte,41.06,25.72,33,26.659485983612964,0.5825371996212368,0.8842730807065039,14.400514016387039,True,Santo Antônio do Tauá
2928208,0.5555555555555556,0.7333724226711732,29,Nordeste,44.72,29.91,27,26.66275773288268,0.5665751250786858,0.9001697202636606,18.057242267117317,False,Santana
2406007,0.5,0.7308331463919503,24,Nordeste,55.7,28.68,6,26.91668536080497,0.3759377602952101,1.0,28.783314639195034,False,José da Penha
1600501,0.8478260869565217,0.7275501238966499,16,Norte,41.39,26.09,46,27.244987610335013,0.5988876426769603,0.8562126051163395,14.145012389664988,True,Oiapoque
2926608,0.5531914893617021,0.7272750127853176,29,Nordeste,48.37,34.39,47,27.272498721468242,0.5999484718712813,0.8546015536993539,21.097501278531755,True,Ribeira do Pombal
2906105,0.6666666666666666,0.7261159371020764,29,Nordeste,50.63,37.3,15,27.388406289792357,0.5004339967216037,0.9517978774825492,23.241593710207646,False,Canápolis
2925907,0.65,0.7252410984340432,29,Nordeste,51.51,38.46,20,27.475890156595682,0.5296008693132372,0.9208813275548491,24.034109843404316,False,Quijingue
2933208,0.5,0.7206360229776462,29,Nordeste,52.02,39.14,36,27.936397702235382,0.5740650377300085,0.8672070082252838,24.08360229776462,True,Vera Cruz
4312500,0.35714285714285715,0.7202002304256785,43,Sul,60.72,51.38,14,27.97997695743215,0.48505165190984056,0.9553488089415164,32.74002304256785,False,Mostardas
2926905,1.0,0.7194974189143055,29,Nordeste,50.01,36.5,2,28.050258108569448,0.09687590287170111,1.0,21.95974189143055,False,Rio do Pires
2208601,0.3333333333333333,0.7194507061124892,22,Nordeste,29.23,14.28,3,28.05492938875108,0.2110565432318946,1.0,1.1750706112489198,False,Prata do Piauí
1507102,0.35294117647058826,0.7187132374913427,15,Norte,47.56,33.37,17,28.128676250865723,0.5049740865377114,0.9324523884449741,19.43132374913428,False,São Caetano de Odivelas
1505304,0.7,0.7186404151152009,15,Norte,48.47,34.52,70,28.135958488479908,0.61330031484926,0.8239805153811419,20.33404151152009,True,Oriximiná
2933000,0.6153846153846154,0.718407416537966,29,Nordeste,46.64,32.24,13,28.159258346203398,0.4739065487305878,0.9629082843453443,18.480741653796603,False,Valente
2908804,1.0,0.7183308472727762,29,Nordeste,39.48,24.0,1,28.16691527272238,0.0,1.0,11.313084727277616,False,Contendas do Sincorá
