id_municipio,taxa_alfabetizacao_anterior,media_portugues_anterior,percentual_participacao_anterior,total_alunos_avaliados_anterior,populacao_anterior,pib_per_capita_anterior,meta_alfabetizacao_2025,cluster,silhouette_global
2406809,27.97,715.0165,,33.0,4787.0,14265.71965740547,53.62,1,0.33899545632891714
2407005,26.23,714.6719,92.86,78.0,9070.0,12392.39250275634,41.52,1,0.33899545632891714
2407104,29.15,713.2767,73.14,482.0,82249.0,29857.37212610488,44.07,1,0.33899545632891714
2407203,27.27,715.8444,74.59,138.0,27369.0,48071.90617121561,42.44,1,0.33899545632891714
2407252,31.42,712.0166,90.16,55.0,3924.0,16749.490316004074,45.97,1,0.33899545632891714
2407302,26.9,698.3527,91.18,31.0,7896.0,12813.7031408308,42.12,1,0.33899545632891714
2407401,41.62,728.6826,85.51,59.0,8179.0,15962.464849003545,53.85,1,0.33899545632891714
2407500,39.12,715.9805,,88.0,10255.0,16133.983422720625,42.99,1,0.33899545632891714
2407609,17.11,704.7561,77.27,34.0,4274.0,15284.277023865232,32.5,1,0.33899545632891714
2407708,58.69,744.7682,83.44,126.0,11444.0,13890.422929045788,65.63,1,0.33899545632891714
2407807,59.18,745.509,81.42,206.0,23031.0,15142.677261082888,65.96,1,0.33899545632891714
2407906,33.36,713.3935,80.43,37.0,2276.0,20176.62565905097,47.55,1,0.33899545632891714
2408003,38.06,728.0096,83.41,1076.0,264577.0,39019.514167898196,51.21,1,0.33899545632891714
2408102,34.5,722.4743,,3042.0,751300.0,41477.496339677884,,1,0.33899545632891714
2408201,32.17,717.9011,77.92,300.0,31942.0,17949.971823930875,46.59,1,0.33899545632891714
2408300,30.54,718.3805,78.95,150.0,34204.0,18396.123260437376,45.24,1,0.33899545632891714
2408508,40.66,737.3272,89.36,42.0,4913.0,16464.27844494199,53.15,1,0.33899545632891714
2408607,48.35,725.0251,,35.0,3934.0,14250.635485510931,36.07,1,0.33899545632891714
2408706,13.33,714.2369,,15.0,3579.0,17365.185806091085,22.17,1,0.33899545632891714
2408805,47.0,735.5981,80.82,59.0,4801.0,109346.8027494272,57.7,1,0.33899545632891714
2408904,43.33,730.2525,91.16,134.0,21499.0,22037.07149169729,55.09,1,0.33899545632891714
2408953,14.85,698.1196,76.81,106.0,10351.0,20022.12346633176,29.91,1,0.33899545632891714
